Nº Pacote;Tempo desde a última chegada do pacote anterior;Tempo de chegada no relógio;Tempo de serviço;Tempo de início do roteamento;Tempo do pacote na fila do roteador;Tempo final do roteamento no relógio;Tempo do pacote no roteador;Tempo livre do servidor;
1;27,5;27,5;32,5;27,5;0;60;32,5;27,5;
2;7,5;34,5;12,5;60;25,5;72,5;38;0;
3;17,5;51,5;12,5;72;20,5;84,5;33;0;
4;2,5;53,5;22,5;84;30,5;106,5;53;0;
5;27,5;80,5;7,5;106;25,5;113,5;33;0;
6;17,5;97,5;22,5;113;15,5;135,5;38;0;
7;27,5;124,5;32,5;135;10,5;167,5;43;0;
8;12,5;136,5;22,5;167;30,5;189,5;53;0;
9;7,5;143,5;12,5;189;45,5;201,5;58;0;
10;12,5;155,5;17,5;201;45,5;218,5;63;0;
11;12,5;167,5;12,5;218;50,5;230,5;63;0;
12;7,5;174,5;17,5;230;55,5;247,5;73;0;
13;12,5;186,5;17,5;247;60,5;264,5;78;0;
14;7,5;193,5;17,5;264;70,5;281,5;88;0;
15;2,5;195,5;17,5;281;85,5;298,5;103;0;
16;2,5;197,5;22,5;298;100,5;320,5;123;0;
17;2,5;199,5;22,5;320;120,5;342,5;143;0;
18;27,5;226,5;17,5;342;115,5;359,5;133;0;
19;2,5;228,5;12,5;359;130,5;371,5;143;0;
20;2,5;230,5;72,5;371;140,5;443,5;213;0;
